Name,Mu_BI,Uhat_BI,BI,BI_ilink,Mu_Sind,Uhat_SInd,Sind,Sind_ilink,DSI_general_ilink,DSI_Uhat_general,DSI_BLUP_general,Q1,Q2,Q3,Q4
S1,-0.765807895,-0.103198006,-0.8690059,0.295461196,-0.951947639,-0.431031379,-1.382979019,0.200530982,0.247996089,-0.267114693,-1.12599246,7.07E-29,1,1.44E-32,1.31E-34
S10,-0.765807895,-0.18657446,-0.952382354,0.278405964,-0.951947639,0.019056129,-0.93289151,0.282338458,0.280372211,-0.083759165,-0.942636932,6.54E-16,9.95E-40,3.03E-18,1
S100,-0.765807895,-0.014014197,-0.779822092,0.314358231,-0.951947639,-0.175246564,-1.127194204,0.244679272,0.279518751,-0.094630381,-0.953508148,2.26E-10,7.88E-33,1.08E-15,1
S101,-0.765807895,-0.072779713,-0.838587608,0.301832333,-0.951947639,-0.260174201,-1.212121841,0.229325831,0.265579082,-0.166476957,-1.025354725,9.87E-15,8.37E-36,1.17E-20,1
S102,-0.765807895,0.101608043,-0.664199851,0.339796805,-0.951947639,-0.076298358,-1.028245997,0.263424295,0.30161055,0.012654843,-0.846222924,0.999978563,2.59E-23,0.0000208,0.000000631
S103,-0.765807895,-0.365962201,-1.131770096,0.243834584,-0.951947639,-0.915387977,-1.867335616,0.133850315,0.188842449,-0.640675089,-1.499552856,9.10E-41,1,1.75E-44,1.89E-60
S104,-0.765807895,-0.488002504,-1.253810399,0.222041238,-0.951947639,-0.720436759,-1.672384399,0.158106535,0.190073886,-0.604219632,-1.463097399,4.28E-14,1,6.67E-17,8.17E-30
S105,-0.765807895,-0.091242036,-0.85704993,0.297956068,-0.951947639,-0.160980929,-1.112928568,0.247325316,0.272640692,-0.126111482,-0.984989249,5.49E-34,1,1.08E-38,2.21E-33
S106,-0.765807895,-0.024502823,-0.790310718,0.312101956,-0.951947639,0.173406895,-0.778540744,0.314634474,0.313368215,0.074452036,-0.784425731,7.03E-13,1,7.25E-17,5.41E-26
S107,-0.765807895,-0.142729871,-0.908537765,0.287299149,-0.951947639,-0.920987198,-1.872934837,0.133202503,0.210250826,-0.531858534,-1.390736301,0.999636882,1.64E-11,0.000363118,5.83E-11
S108,-0.765807895,0.02664013,-0.739167765,0.323186158,-0.951947639,0.003032077,-0.948915563,0.279102963,0.30114456,0.014836103,-0.844041664,0.996780584,0.002382264,0.000837152,2.52E-10
S109,-0.765807895,-0.329611801,-1.095419696,0.250599089,-0.951947639,-0.299197942,-1.251145582,0.222501896,0.236550493,-0.314404872,-1.173282639,2.22E-14,1.05E-31,3.59E-18,1
S11,-0.765807895,0.310234889,-0.455573006,0.388036554,-0.951947639,0.282152824,-0.669794815,0.338542787,0.36328967,0.296193857,-0.562683911,1.50E-16,8.94E-41,1.56E-22,1
S110,-0.765807895,-0.311970691,-1.077778586,0.253926629,-0.951947639,-0.574465283,-1.526412923,0.178519124,0.216222877,-0.443217987,-1.302095755,0.999345318,2.34E-08,0.000654659,6.87E-13
S111,-0.765807895,-0.608375552,-1.374183447,0.201944788,-0.951947639,-0.729610687,-1.681558326,0.156889231,0.17941701,-0.66899312,-1.527870887,1.16E-12,1,5.77E-15,6.79E-28
S112,-0.765807895,-0.068896112,-0.834704006,0.302651352,-0.951947639,-0.336512396,-1.288460035,0.21611358,0.259382466,-0.202704254,-1.061582021,4.48E-16,2.70E-36,1.24E-19,1
S113,-0.765807895,-0.068346977,-0.834154872,0.302767262,-0.951947639,-0.172073073,-1.124020712,0.245266245,0.274016753,-0.120210025,-0.979087792,3.66E-17,4.05E-38,4.05E-21,1
S114,-0.765807895,-0.193530094,-0.959337989,0.27701076,-0.951947639,-0.408933009,-1.360880648,0.204097211,0.240553986,-0.301231552,-1.160109319,0.999914946,4.83E-25,0.000084,0.00000103
S115,-0.765807895,-0.005295925,-0.77110382,0.316240376,-0.951947639,-0.155435891,-1.10738353,0.248359001,0.282299689,-0.080365908,-0.939243675,1.50E-11,2.15E-33,1.43E-16,1
S116,-0.765807895,0.333666324,-0.432141571,0.39361506,-0.951947639,0.220300127,-0.731647512,0.324833296,0.359224178,0.276983226,-0.581894542,2.74E-13,3.81E-32,6.34E-18,1
S117,-0.765807895,-0.114997814,-0.880805709,0.293010844,-0.951947639,-0.119278674,-1.071226313,0.255169943,0.274090394,-0.117138244,-0.976016011,9.34E-31,1,1.35E-34,2.73E-32
S118,-0.765807895,-0.435170182,-1.200978076,0.231301268,-0.951947639,-0.544336,-1.49628364,0.18298046,0.207140864,-0.489753091,-1.348630858,0.999955322,2.84E-25,0.0000447,3.33E-09
S119,-0.765807895,0.189430517,-0.576377378,0.359766584,-0.951947639,0.064730274,-0.887217365,0.291684399,0.325725492,0.127080396,-0.731797372,6.77E-15,7.31E-35,6.72E-19,1
S12,-0.765807895,-0.237919319,-1.003727213,0.268209238,-0.951947639,-0.311700538,-1.263648177,0.220346518,0.244277878,-0.274809928,-1.133687695,4.19E-17,1.14E-43,1.02E-21,1
S120,-0.765807895,-0.043547592,-0.809355487,0.308027855,-0.951947639,-0.218529804,-1.170477444,0.236768695,0.272398275,-0.131038698,-0.989916466,3.15E-14,2.06E-38,1.89E-17,1
S121,-0.765807895,-0.284708333,-1.050516227,0.259125983,-0.951947639,-0.440399347,-1.392346986,0.199033338,0.229079661,-0.36255384,-1.221431607,0.999687682,5.58E-28,0.000312318,6.14E-18
S122,-0.765807895,0.289108905,-0.47669899,0.383031913,-0.951947639,0.297370738,-0.654576901,0.341958886,0.362495399,0.293239822,-0.565637946,7.83E-14,5.21E-31,1.34E-19,1
S123,-0.765807895,-0.20319661,-0.969004505,0.27507897,-0.951947639,-0.528349698,-1.480297337,0.185382512,0.230230741,-0.365773154,-1.224650921,5.34E-15,6.99E-39,4.93E-18,1
S124,-0.765807895,-0.215174772,-0.980982667,0.272696845,-0.951947639,-0.703724862,-1.655672502,0.160343768,0.216520306,-0.459449817,-1.318327585,8.87E-16,7.40E-37,9.88E-20,1
S125,-0.765807895,-0.107982448,-0.873790342,0.294466223,-0.951947639,0.111994299,-0.83995334,0.301544611,0.298005417,0.002005926,-0.856871841,8.31E-14,1.52E-35,1.33E-18,1
S126,-0.765807895,0.285991224,-0.47981667,0.382295417,-0.951947639,0.387489346,-0.564458293,0.362516526,0.372405971,0.336740285,-0.522137482,5.34E-15,6.22E-36,2.93E-21,1
S127,-0.765807895,0.160403925,-0.60540397,0.353108326,-0.951947639,0.461679948,-0.490267692,0.379830508,0.366469417,0.311041936,-0.547835831,3.17E-17,3.78E-41,5.02E-22,1
S128,-0.765807895,-0.068185359,-0.833993254,0.30280138,-0.951947639,-0.098402668,-1.050350307,0.259157838,0.280979609,-0.083294013,-0.942171781,0.999513474,1.39E-19,0.000486402,0.000000124
S129,-0.765807895,0.177833325,-0.587974569,0.357099717,-0.951947639,0.217121369,-0.73482627,0.32413653,0.340618124,0.197477347,-0.66140042,2.32E-15,7.94E-33,5.51E-21,1
S13,-0.765807895,0.080591193,-0.685216702,0.335097985,-0.951947639,0.222510029,-0.72943761,0.325318152,0.330208069,0.151550611,-0.707327156,0.275591736,2.17E-22,0.724401529,0.00000674
